time,temperature,humidity
2021-10-13T00:14:41Z,19.2,53.8
2021-10-13T00:14:42Z,19.2,53.8
2021-10-13T00:14:43Z,19.2,53.8
2021-10-13T00:14:44Z,19.2,53.8
2021-10-13T00:14:45Z,19.2,53.8
2021-10-13T00:14:46Z,19.2,53.8
2021-10-13T00:14:47Z,19.2,53.8
2021-10-13T00:14:48Z,19.2,53.8
2021-10-13T00:14:49Z,19.3,53.9
2021-10-13T00:14:50Z,19.3,53.9
2021-10-13T00:14:51Z,19.0,53.7
2021-10-13T00:14:52Z,19.1,53.75
2021-10-13T00:14:53Z,19.1,53.75
2021-10-13T00:14:54Z,19.2,53.8
2021-10-13T00:14:55Z,19.1,53.8
2021-10-13T00:14:56Z,19.1,53.8
2021-10-13T00:14:57Z,19.1,53.8
2021-10-13T00:14:58Z,19.1,53.8
2021-10-13T00:14:59Z,19.1,53.8
2021-10-13T00:15:00Z,19.2,53.8
2021-10-13T00:15:01Z,19.2,53.8
2021-10-13T00:15:02Z,19.3,53.9
2021-10-13T00:15:03Z,19.3,53.9
2021-10-13T00:15:04Z,19.3,53.9
2021-10-13T00:15:05Z,19.200000000000003,53.849999999999994
2021-10-13T00:15:06Z,19.200000000000003,53.849999999999994
2021-10-13T00:15:07Z,19.1,53.8
2021-10-13T00:15:08Z,18.9,53.7
2021-10-13T00:15:09Z,19.049999999999997,53.75
2021-10-13T00:15:10Z,19.049999999999997,53.75
2021-10-13T00:15:11Z,19.2,53.8
2021-10-13T00:15:12Z,19.3,53.9
2021-10-13T00:15:13Z,19.3,53.9
2021-10-13T00:15:14Z,19.2,53.8
2021-10-13T00:15:15Z,19.2,53.8
2021-10-13T00:15:16Z,19.2,53.8
2021-10-13T00:15:17Z,19.2,53.8
2021-10-13T00:15:18Z,19.2,53.8
2021-10-13T00:15:19Z,19.2,53.8
2021-10-13T00:15:20Z,19.2,53.8
2021-10-13T00:15:21Z,19.25,53.849999999999994
2021-10-13T00:15:22Z,19.25,53.849999999999994
2021-10-13T00:15:23Z,19.3,53.9
2021-10-13T00:15:24Z,19.2,53.8
2021-10-13T00:15:25Z,19.2,53.8
2021-10-13T00:15:26Z,19.2,53.8
2021-10-13T00:15:27Z,19.2,53.8
2021-10-13T00:15:28Z,19.2,53.8
2021-10-13T00:15:29Z,19.2,53.8
2021-10-13T00:15:30Z,19.1,53.7
2021-10-13T00:15:31Z,19.1,53.7
2021-10-13T00:15:32Z,19.3,53.9
2021-10-13T00:15:33Z,19.3,53.9
2021-10-13T00:15:34Z,19.3,53.9
2021-10-13T00:15:35Z,19.3,53.9
2021-10-13T00:15:36Z,19.3,53.9
2021-10-13T00:15:37Z,19.3,53.9
2021-10-13T00:15:38Z,19.2,53.8
2021-10-13T00:15:39Z,19.2,53.8
2021-10-13T00:15:40Z,19.2,53.8
2021-10-13T00:15:41Z,19.2,53.8
2021-10-13T00:15:42Z,19.2,53.8
2021-10-13T00:15:43Z,19.2,53.8
2021-10-13T00:15:44Z,19.2,53.8
2021-10-13T00:15:45Z,19.2,53.8
2021-10-13T00:15:46Z,19.2,53.8
2021-10-13T00:15:47Z,19.2,53.8
2021-10-13T00:15:48Z,19.2,53.8
2021-10-13T00:15:49Z,19.2,53.8
2021-10-13T00:15:50Z,19.2,53.8
2021-10-13T00:15:51Z,19.1,53.8
2021-10-13T00:15:52Z,19.1,53.8
2021-10-13T00:15:53Z,19.2,53.9
2021-10-13T00:15:54Z,19.2,53.9
2021-10-13T00:15:55Z,19.0,53.8
2021-10-13T00:15:56Z,19.0,53.8
2021-10-13T00:15:57Z,19.3,53.9
2021-10-13T00:15:58Z,19.3,53.9
2021-10-13T00:15:59Z,19.2,53.8
2021-10-13T00:16:00Z,19.2,53.8
